corrected,family_ses,pay_per_week
"I am now 25 years old and work in a office as a secretary and like my work very much my boss and all the other Girls are very nice to me. I leave work at 4.30.PM. and Take a Bus ride to my home my youngersister lives with me and mom and Robert dad has not come Home from work yet and mom is making tea. I go and wash for tea and very soon dad comes in. My home life is Good but not Great, I like it at * home and at the office at 730 Pm on a Friday I go to the [dicothe*th] with Some friends in the morning I get up at 730am. to go to my* work, on Saturday the office is hectic but it is fun. Sometimes After work I like to lay around reading unless I am bothered. by my younger brother and sister. then I lock my self in my Bedroom and tidy it round and make my Bed. most of the time I am around at my friends House down the road. I like reading, looking after animals and . Helping mom with the House work. I like my life. at 25 years old.  Words: 208",4.0,200.0
I am now 25 years old and I have a motor car and I work at (company) theymake generators and I have to travel to (place) to my work I stay at (address) I have a ford capricar the colourof the car is white and it can go up to 105 mpH but on most roads you only can go up to 40 MPH in (place) they have a bowling green beside the [clud]my house in beside the (place) office and my staircase window looks out onto the the (place) I have a dog it is an alsatianmy house has my stairs an downstairs it is a nice house I always go to fishing on holidays i go all round i would like to go to australia forholiday . or go *** where with my car and caravan.  Words: 149,4.0,425.0
Every week I get up and get ready for week its very hard then I come home and get dinner ready. My work is in London in marks all day I serve on the counter selling shoes. My interests are writing letters. I am leading a hard life. My husband works in [seare] (sweetshop). we get up at half past seven every morning and get home at eight. My life at home is hard as well for soon I am having a baby. Every Saturday afternoon I have off. In my spare time I go for walk in the park and read. I go and baby sit for a lady who lives next door She is 29 years old And I am 25 years old Today I have been to work and I had over 90 customers. My husband is 25 years old as well. For my holiday I go to Germany it is very nice there. I live at 4 west crop lane. Soon we are going to move to a farm where we will grow our own fruit and vegetables I am going to call my baby [male name] if its a boy and [female name] if its a girl my next door neighbours* little girl is called [female name] [female name] [surname] She is 3 years old and in two years time **** going to school I will be moving my job *** work at the post office and hope I will lead an easy life. I go swimming ** **** for I can swim 3 lengths and dive **** taking my dog out for a walk.  Words: 271,4.0,60.0
"When I was 25 years old I was saving up for a formula one car. It took me about five or six years before I had enough money. So when I went looking for a racing car In my fathers car. I could not find one anywhere. But this man when* was a car dealer said he would order me one. It would take about 6months before he would get so I got a job at Rolls Royce* I had some more money for othergadgets* for the racing car. But when I got the racing car I forgot* all about buying* a house to live in so I planned* it out that I would work at Rolls Royce* in the week and go in for a race on saturdays. I came third once and I was awarded 8,000 pounds. So that solved my problem of buying a house. But that was not all I was aiming* to win first prize* which was 32,000 pounds in the next race. My mum was very pleased even with getting in third place. I went abroad for a big race. I packed with money* because I won the race. But I had to push the car over finishing line Mum was pleasedbut* dad wasn't pleased.  Words: 213",4.0,384.615384615385
When I'm 25 years old I would like to get married. I would like to have 2 children one boy and one girl I would like to be a secularat a school in the a evenings I would like to run a night school of cooking for teenagersonly then I would go home to my baby sitter and get my husband's dinner in the day I would have a lady that could do the housework and look after the babies I would pay the house work about 10 pounds a week I would be able to look after the children* at the weekend on SaturdaysI would do the washing and ironing watch television in the evenings and on Sunday. I would spring clean the bed rooms and clean* the bathroom on Monday I would go to work then go to night school: I would like my children to have jet black hair. On Tuesday I would go to work then go home to my children I want to take evening class on Mondays and Wednesday when I go home on Tuesday evening I would get out my knitting and play with my children at six o'clock I would put my children to bed then put my feet up at seven o'clock. I would start to get my husband tea. Wednesday morning I would get my husband up to work. I would name my children kennith and linda Anne. Wednesday night I would get changed for night classes. Thursday I would stay on extra hours and get paid more money. I would like to work at grove road school. and live next door to it I would like to be paid about 14 pounds a week. I would get about 15 pounds because I would do extra hours on Thursday I would like to be a secretary because I like children. I would like to share an office with a helper. I would not like to be an air hostess because you have to learn many [longiges]*. I would like to be a secretary because I like to do typing. and like getting telephonecalls because I like working in school because I like going to assembly  Words: 367,3.0,3732.38461538462
"I am 25 years old married with one child boy aged 3. I play football for Queen's park Rangers, I have to get up at 7pm I must be there at 9pm we do training for 2 1/2 hour then have a shower go home have dinner then the afternoon is free time. I live Just outside [London suburb] so I have quieta distance to travel. my wage packet is 50 pounds a week. on a Friday before a game our manager has a word with us and tells us what to do. On the Saturday I must report to the ground. at half past one. our ground now holds 50 thousandpeople today we play Liverpool so well most likely get 50 thousand. Now what it's like at home well I have 4 bedrooms, dining room, kitchen, sitting room, lounge and bath room, the lounge we only use when we have guests, also we have central heating hot water there not much else but I hope all this come's true.  Words: 172",3.0,1020.75
I will work at the bakery and when I come home early I might go to see my friends and when I come back and watch television and after I will go to bed when I wake up in the morning. I wash my face and brush my teeth comb my hair and will go to work on Saturday and Sunday I go out somewhere  and I come back about one o'clock and I do my decorating and I do the rooms and kitchens and bath rooms and cut down the grass and do some gardening and plant some flowers and roses and clean all the rooms and I make a green house.  Words: 114,4.0,225.0
"I work as a part-time nurse. I work in the Morning to 1 o'clock. in the afternoon. I go out at night to see my mother and father. I have a house of my own, I live a pleasant life. After I have been to see my family I go straight home, and put the kettle on and start making the tea, for when my husband comes home. When he comes home I will usually have his tea on the table. If at night I have to go back to the hospital to stay in the ward, while the other nurse goes home for tea, my husband might go to the Public bar to have a drink. In the morning I have to do a quick breakfast for my husband and I, before we go to work, in the afternoon, I clean the house up so if I have to rush down to the hospital. OnSaturday night my husband usually takes me to the cinema. At night, my husband usually has a meal of fish and chips or steak and kidney pie. My husband does not come home at dinner time because I usually come home a bit late. In the hospital I look after babies. I like being a nurse, and wish I could go across to* other countries.  Words: 220",4.0,170.0
"I work at a hospital in [town]. I am training to be a State RegisteredNurse. My work is very interesting, I go and watch surgeons perform operations. At my first operation I fainted but the Sister said many nurses do that at their first operation. I have a very nice room in the Nurses Quarters where I keep my pop records and reading books. Sometimes When ever I can I go over to my home to see my parents. They always make me welcome when I go. I am glad to see my old friends, and sister. I have just the one sister who is married. Her husband is named [name]. As I work as a nurse I don't have much time for boy-friends. I just love looking after children which is what my work is about. One little girl is paralyzedfrom the waist downwards. She is name [name]. You get some terrible cases in there from all sorts of accidents. I hope to stay in my nursing career until I retire.  Words: 173",4.0,172.0
"I'm interested in sport and animal collecting. I like stamps a lot and in my spare time I will look after pets and collecting stamps and buying rare stamps. I will study at home on all different things like the value of stamps. When I am twenty five I'll help my mum and dad. I'll help my mum by doing the dishes and the bedrooms. I'll help my dad by helping him decorate the rooms and go down to the shops and buy wood and different materials. I would tell my children what it is like at school and at different places in England. I'll tell them what it's like going to Cubs, Scouts and Crusaders. I'll teach them how to play games like football and tennis and table-tennis.  Words: 122",3.0,321.75
"""My Birthday is today and I am 25 years old my husband has bought me a dress and a fur coat. I do not go to work I am a housewife. My husband works at RollsRoyce he gets xxxxnine 10 a week I have two children  both twins one of them is a boy his name is raymond and the other one is a girl her name is Julie*. I have been in hospital four times. I am a Telestoreanswering machine engineer. I live in a large house in ****. I am not married so I have to cook for myself, my favorite food is fish and chips i have a red Jaguarregistration number is **** because I like driving, I became an engineer, sometimes I travel down to London on business. I occasionallygo to watch a football match. Just lately I have being going abroad for my holiday to such places as Annecy*, Royan, Geneva, and many other places. I do very well when I think about it slowly, I have to keep the house clean, decorated, garden, and not forgetting I dont come in until six o'clock. My best friends are ****, ****, and **** these are the people that I go on holiday with. **** lives next door to me and he is an Telestoreengineer* so we get on very well with each other. We go out in the evenings together for a for a meal and we discuss thing together, we also go to  cinemas together, our favourite film is """"Those magnificent men in their flying machine."""" All four of us are Manchester United fans, but unfortunately none of us had enough time to go every fortnight we only go about four times a season. In my spare time I so some pointing, I sold my last one for xxxx6=10=0 which is not bad, as I am not a professional . I nearly became a barber, but I decided there would not be any travelling so I left that thought. All of my friends are Jehovah Witnesses and we travel to the different conventions held all over the world in such places as - Rome, New York, and London. I have been a Jehovahs Witness for 25 years.""  Words: 376",4.0,637.5
My job is at [name of employer]. I am a short hand typist. In the factory there are some computers that help people add things up. It is a very interesting job I hope I still will be there in a few years time. I have some other hobbies apart from work. My most favorite hobby is looking after animals. I like that hobby the best the best thing I like is animals I do not no why but I do. Another hobby of mine is horse riding some day i hope to have a horse of my own. I have never been in a composition but I am going* in one next year. I have so many hobbies that I could fill a hole book. It is not often that I right letters but when I do I make them very long. I am going to tell you some more of my hobbies. I like going to parties and dances. One party I went to I did notget home till two o'clock in the morning. It the end it got a bit boring though I enjoyed it at the beginning. But it was long drawn out it was still going when I came out people said it did not start until about eleven o' clock. But I thought it was better at the beginning. My mother is called [name]. My father is called [name] I have got a brother called [name] and a sister called [name].  Words: 248,3.0,71.25
"I live in the north of England. And I play football for a club in my spare time I work as a engineer. I would like to come home for my dinners but I can't because I work about 20 miles from home I leave for work at 9 o'clock and I get home at 7, o clock. I play football for my club on Saturdays. I go swimming with my wife and children on Sunday mornings and I go out in the afternoon, and Sometimes we go Swimming when I come home from work, We do not in a council house we live in a private house, I work in [city] and I don't smoke. I don't drink very often only when I go out for a drink with my wife and children, My Wife does not smoke either. She does not go to any clubs. My two boys are cubs.  Words: 149",3.0,1750.0
I am now 25 and I am still a nurse at (place). I started when I was 16 so I have been there for 9 years. I am married and have 2 children. I am staying on at the hospital until I am too old for it . Since I was 10 I always wanted to be a nurse . But when my children grow up I am going in for midwifery. I am happy and hope I always will be. I like to sit and knit. I like to cook and do the house work . The children are growing up and I am getting older. I am leading a very good life now. In my spare time I would sit and knit or sew. I mostly knit for the children. The life I am leading now is not so pleasant. The work at home I do is kitchen work and washing . I will have my clothes. I am going to stay at the one job and that is nursing.  Words: 179,4.0,150.0
"My name is [name] I am leading a normal life one which I enjoy. I go to a university where I am taking math, English, Drama and History. I have three interests in life one to get a good job and it must be a job that I will enjoy my second interest is that I can become an amateur athletebut it must not interfere with my job my third and final interest is to get married and have some children.      I hope my home life will be a happy one my children will grow up and get married and be as happy as I am. Also I hope my husband as a good job which he enjoys and that I can keep him happy. The work that I want would be an art instructor or a swimming instructor if I cannot get these jobs I will just be a plain housewife. If I got these jobs I would do the best I could to keep them and when I got home I would always keep a smile on my face so my husband will stay happy. I would make him a nice dinner and afterwards I would make him comfortable. If I do not marry I may become a nun because I have always wanted to become a nun. If I become a nun I will do my very best to behave as a nun should behave and I will always look up to God. Now that I am twenty five years old I will tell you about my job. I am an art instructor at a art and craft college my students are* all talented. My home life is a happy one and I have two children. Every evening when I come home I always keep a smile on my face. I am a amateurathlete and I have four medals I cannot do much running because I have a family to look after so I have all three things that I wanted. My job is a rather happy one but I only teach my students how to paint bowls of fruit and mountain scenes all the things I like painting like figures and countryscenes are taught by somebody else. I really have got all I want out of life.  Words: 382",4.0,475.0
"I'am working quite well now at my job. My nursing is coming on grand. I am past the stage of being a student nurse and now I am a fully qualified nurse. At home I like to write  a few poems and cook, I enjoy going out in my spare time* and love to* go dancing. I am leading a very interesting like. At home when there is nothing to do I watch television* or play records. I like to save my money than by new clothes and new out fits. Every morning I get up at 7'o'clock and catch the bus at eight and usually get to* work at 9'oclock I work in [name of hospital] hospital. And live at [town]. Sometimes I am put on night duty and don't get home till* 8'o'clock in the morning. When I get home I usually sleep At holiday time* I have usually saved up enoughmoney to go on a holiday. Last year I went to Spain this year I am going to France for 1 month. My interest at the moment is swimming I do a lot of that in my spare time as well as my other hobbies* which are - tennis Stamp collecting reading and riding I live in a bungalow with* my mate Jean. Jean is a teacher and earns xxxx35 a week I earn xxxx17 8s 9d per week. So on that we can live quite comfortable. I do the cooking a housework before a go to* work and when I come back Jean dose the shopping. I am quite happy in my life and everything has worked out how I planed it.  Words: 272",3.0,350.0
"When I am 25 I would like to be an air hostess. this is because I like flying, I like traveling. When you fly you do not even realize that you are flying.I would like to work in a dogs kennel, where you look after people's dog when they are on holidayas I like animals I would like to be a DJ. and here yourself on the radio. I would also like to work as a school teacheras I think that children at the age of 11 are usually quite pleasant.If I am married I would like to live in a bungalow. I would like the wall which joins the kitchen to the front room knocked down and a cabinet put there instead. The bed would have to be a double bed. At each side of the bed there would be a little cupboard with a lamp shade on top. If I was not married I would either go and live in a flat with friends or live at home. If I lived at home I would be when it was time for bedroom to be done I would [cosse]my own wallpaper and pay for it myself.  Words: 199",3.0,75.0
I am now working as an electrician. I cycle to work and take a pack lunch. When I go home I mend a fuse or two and watch the news have my supper and do some work and then go to bed. Then it all starts again I get up at 8 oclock and eat my breakfast then cycle to work. on Saturdays I would lay in and get up at perhaps 11 oclock have a cup of tea and tidy up then after lunch take the dog for a walk and watch the news. After supper I would go out somewhere then go to bed. On Sundays I would get up go to church and keep the scouts in order come back have lunch on the beach if fine after lunch. Go for a walk then watch the news and have supper then go to bed so I can get up in the morning to start work all over again.  Words: 161,3.0,856.75
"If I was 25 I would to be a football and play for Manchester united. If I did my mother would be very pleased, and all my relations would come to see me including my mother and father, and I would get about xxxx100 a week for a starter. But when I get better like George Best I would get about xxxx1,000 a week, and I would be quite famous. I would get married, and Have two children a boy and a girl and call them [name] and [name], and we would have a jaguar, and a big house with a maid. two looks after the children when me and my wife go out. I would also have a chef to cook our dinner, and every Saturday we would go for a ride to the beach are some were peaceful and quite were the children can play and we can rest, and have a could time just me my wife, my children, my maid, and my cook. have a good time to ourselves, and if I had a match on* a Saturday they would all go to watch me play, and if I had the chance I would be inside right for the team, and I would be on of the best on the field.  Words: 215",3.0,230.769230769231
"As I look back over the years, I think what a lovely time I must have. But now I have to think about work and how the bring up my own family to think about. My wife is about to have her first baby and every thing seems to be going wrong. I have a job in a car factory and it is nice to work there. In my spare time I do the gardening with my new machine that I made myself My interest is best in nature for I love the birds and the animals. My life is enjoyable and happy. My home life is filled the wonders of how I will set the garden the seed and which kind of seed. The apple trees are beginning to shed new leaves and the blossom is beautiful. My work in the factory is to work the presser to put the parts of the cars into shape. As the sheet of metal is put in I flick down the switch and the presser falls down on top of the steel and the bonnet takes shape.  Words: 184",4.0,66.0
I am married I have got on boy and one girl and the boy is 5 and the girl is 3 years old. I bought the boy a train set for his birthday and the girl a doll and a pram and they got 7/- each from their grandmother . I was in the town getting them clothes for the winter I got them a [plenets]each . My husband works at the stamp work and he work's day and night he gets about xxxx14 or xxxx15 a week.  Words: 90,4.0,137.5
"I AM MARRIED I HAVE TWO CHILDREN ONE IS ONE AND THE OTHER 3, YEARS OF AGE. MY WIFE IS 24 SHE HAS DARK BROWN HAIR AND BROWN EYES SHE IS 5"" 10"" HEIGHT. I AM A FOOTBALLER FOR SUNDERLAND I EARN 50 POUNDS A WEEK. I PLAY FOR SUNDERLAND'SFIRST TEAM. I WAS PLAYING AGAINST LIVERPOOL WHEN I BROKE MY LEG AND I WAS IN HOSPITAL FOR TEN WEEKS. I PLAY INSIDE FORWARD.IN THE FIRST FOUR FOOTBALL MATCHES I SCORED THREE GOALS. ME AND MY WIFE ARE LIVING IN A BUNGALOW AT [VILLAGE] WE LIVE I [ADDRESS]. I HAVE A JAGUAR IT GOES 140 MILES AN HOUR. MY WIFE'S NAME IS [NAME]. AND THE CHILD THAT IS ONE IS CALLED [NAME]. AND THE OTHER IS A BOY AND IS CALLED [NAME]. I AM INTERESTED TO BE A ELECTRICIAN. I HAVE BROWN HAIR BROWNEYES AND MY HEIGHTIS 6"". WE HAVE TWO BEDROOMS, A DINNING ROOM A LIVING ROOM A KITCHEN AND A BATHROOM. I GOT MARRIED WHEN I WAS 20 AND MY WIFE WAS 19. WE BOTH HAVE MOTHERS AND FATHERS. BUT [NAME] MOTHER IN HOSPITAL SHE SOMETHING WRONG WITH HER HEART. WE GO TO SEE HER THREE TIMES A WEEK. MY WIFE WORKS IN A CAFE IN SUNDERLAND SHE IS THERE FROM 9 O'CLOCK IN THE MORNING TILL 4 O'CLOCK AT NIGHT. OUT OF THE FIRST SEASON I HAD SCORED 28 GOALS FOR SUNDERLAND.  Words: 238",4.0,230.0
"I am short-hand-typist and every weekday I go to work and meet all my pals. When tea break comes we have a 'natter' and then go back to work. After a days' work I go home and help prepare the tea. Dad comes home and we start tea. We have another 'chat' till tea-times over. I take the dog a walk if it's not raining and sometimes go to one of my friends and go to the pictures.      When Saturday comes I get up and dressed and go down and have breakfast. It is always hectic on a Saturday as my friend comes round and we go to [city]. A main interest of mine is to look round some clothes for special occasions. We, usually get back from [city] about two o'clock and at three o'clock I have my hair set at the hairdressers, for when my boyfriend comes. I try to be smart and on time for when he comes but I never am. I am engaged to be married to him, but, I don't suppose we shall ever get married. We sometimes go to his parents and sometimes go ice-skating. That brings the end of a usual Saturday. On a Sunday I am up and dressed by about nine o'clock and start to help making the dinner. On a Sunday we usually go out after dinner to the pictures of anything in that line*. This is one of the few times the whole family goes out together.       At home their is always a friendly atmosphere, an atmosphere that is never quite the same anywhere else.  Words: 269",3.0,180.25
"I am now 25 years old I have just finished at the acting school tomorrow I will be traveling to London for advanced training in acting for the play dreams of angels. I live in a country house just outside of London I am an actor and when I act in a play I earn 200 pounds a week. In the play Dreams of Angels I am a mad professor who invents a trumpet when blown it is capable of blowing a house down. I am interested in not only acting I am interested in Cricket, Tennis, golf and Football. I like going into a wood and watching Birds building nests and teach their young to fly. I also like watching deer drink and feed and watching badgers build their set. On a day of and it is raining I just sit and read a book. Sometimes on a night I study the stars through my telescope it has a special lens so that the vision is never blurred. I have a morris traveler in which I travel around England through a winter I have a ski holiday in Scotland the first time I tried out a pair of skis I broke my leg and had to stop acting for seven weeks and the director was very annoyed because the reserve actor was nervous so the director said next time I was of as long as that again he would knock one hundred pounds off my pay.  Words: 247",4.0,375.0
"I have anything particular in mind at the moment what sort of job I would do but I am definitely not going to do something like helping to build cars etc. because it would mean doing the same things day in and day out. I would like a job that I could earn a good pay packet (not expensive) with and also one which means I am not confined to a certain place. I would not mind to start a career in the army or for that matter I would just as much enjoy being a teacher or even better a headmaster. My interests are in swimming, aviation (early. 1910-1930) and sports (of any type). I would not live in a particularly expensive house but one costing around xxxx6000. (They are bound to go up in price over the period of 14 years)  Words: 143",4.0,300.0
When I am 25 I might be married and have 2 children a boy called [name] and a girl called [name] or [name] My little girl will have long hair always be down the soy must have black hair or fair hair I will not go to work I will wash up and cook breakfast dinner and tea and make lots of cakes little one and big ones I shall give my children A birthday party my husband will be tall a have fair hair and have blue eyes I will buy my children a dog I will call it Pi****.  Words: 102,4.0,259.615384615385
At the moment I am still at university. I am training to be an Airhostess. I like to be a Airhostess because my father is a steward and he says its interesting to go to all the differentcountries. I always Played it when I was small my dad got lots of things for me and I loved the game. My mother always said your father is always away I just hope you are not going to be away all the time but I am. not yet. I got married when I was 22. and I have got 2 children they are twins 2 little girls I call them [female name] and [female name]. I have missed a lot of trainingbecause I had to look after my children so I have to stay on training much longer my children are 2 1/2 and I have my mother to look after them while I and University. I am going to work at [Bea] my husband works there to but we will be on different flights.  Words: 171,3.0,230.0
"I live in a cottage in the country I keep my cottage tidy because I can't stand a untidy house. I have two children, two girls one's called [name] and the other called [name]. My husband is a police man and I am a teacher in a Junior School and my favourite hobby is finding more about Britain My two children are well mannered not very noisy. [name] is 3 and [name] is 3 they are twins. My husband and I like walking about the country side. My other hobby is reading exciting stories once I get a exciting story I can hardly take my nose out of it. One thing I dislike is cooking and sewing I can't stand them. My husband is well mannered and dislike's drinking and smocking. I do not smock but sometimes I drink. My favourite drinks are shandy and Bitter lemon. My children* sometimes are naughty but they get smacked for it. My children are also tidy. I have a very bad temper. My husband is tall and very well built and has a beard  Words: 181",4.0,195.0
When I am now twenty five years old and I am leading a interesting life. I am teaching infants at a school near where I live. In my spare time I make up lots of stories and poems to tell the children. I am not married but I have boyfriend I have a flat of my own. In my family I have two sisters both married with children and one brother who is married with no children. My home interests are listening to folk music and collecting stamps which I enjoy very much. I try and keep everything tidy and clean and I succeed. I am five feet 6 inches and I weigh 9st 8lbs.  Words: 115,3.0,192.307692307692
"I am now turning 26 and have made my living by Show Business(Singing + acting) I am married with three Girls (Joanna, Nicola + Suzy) ages (9,7,3) the man I am married to is [xxxxxxx] [Jn] (Ha! Ha!) I enjoy entertaining people like at the Talk of the Town. I live in a huge house with a swimming pool I have already acted with [xxxxxxx], [xxxxxxx], etc: My real name is [first name surname], but my acting name is [xxxxxxx]. I also teach my children to swim at home. I give a lot to charity also. My home life is making clothes for my children and making up fancy dinners and having parties. I read quite a lot of books and also like getting around a lot meeting other people and believe me, is sometimes very interesting. We have 1 car a Capri which are very ordinary cars nowadays + Rolls Royces are way out of fashion. Mari skirts have come in but gone out again + things are much cheaper than my youngerdays. I do a lot of athletics also (including Tennis.) Leather jackets are out in my younger days every one was wearing them except me and a few of my friends. My [faifell] friend [xxxxxxx] is in the same businessas me and is doing very well indeed she is married with one child also, and is 4 years old. Weather is much better than it use to be. The memories of my younger days will never fade away, they were the best days of my life. Suddenly the bell rings, I wake up out of my DAY-DREAM and Yell, 'See who's at the door please [xxxxxxx]', its my friend and as my younger does off I go gossiping.  Words: 289",4.0,127.884615384615
"I am a hair dresser, I am single, I own the hair dressers shop, I live with my parents at [address]. The shop is open from 9 to 7. On Saturday we are only open in the morning, sunday we are shut. I help in the house work in my spare time. I enjoy all I do. I go out to night clubs. I enjoy singing and dancing. I knit all sorts of things, and make dresses. I do my hair really nice for the clubs and things that I go to. I have a brother 2 1/2 years older than I am, and a sister 7 years younger. I make most of the dresses for her if they aresuccessful. I enjoy tap dancing very much. and I enjoy the life I am leading.  Words: 134",4.0,200.0
"When I am twenty five I will get married I will have a white wedding. I will earn my living as being a nurse as I always wanted to be one. I will have two children and I shall want a boy first and then a girl. I would want their names to be [male name] and [surname] if my husband would let me. In my Job I  would want to be on duty from nine two to two o'clock in the morning, because I wouldn't miss my children so much. When I had learnt quite a lot at being a nurse I hope I would be able to go in a surgery because you get more money, but you have to work more early in afternoon and you have to work longer but that is the only way I could earn my living. When I was older I would want to leave the Job in case I did something wrong when I was operating on one of the patients. And when I had left the Job I would want to have a good time.  Words: 183",4.0,83.0
"When I am 25 I would like to be a engine designer to make big engines down to small ones. Then when I got all the nuts, and bolts, piston, boiler, funnel, down to scale I set to work trying to put the pieces together. When I had set it up I made a spirit lamp and put some methylatedspirits in the lamp and put some water in the boiler and lit a match and I put it to the spirits and it made a flame. I put it under the boiler to heat it up [illegible] the water [illegible] it'll get hot and start to boil [illegible] and will turn the wheel turning hard to start the wheel turning round it has to have the power to get moving. Now I have made a steam tractor which [illegible] along the floor. I got everything down to scale to make the tractor going and it worked.  Words: 157",4.0,260.0
"1984?               I am 25 years old now and a teacher in a grammar school at the north-east 3 years ago I left University having taken my Science degree, And having decided not to live with my parents. I have a nice flat in town Where I am living with a few pals Not being married I have plenty of time for for my Interests. Which are, painting and Drawing, chess reading good books and travelling to places of Interest. As a matter of fact I have just returned from a trip to the moon. The world airline has a regular Service to the moon these Days. As archaeology and fossils are my greatest hobbies this trip to moon was great I will never forget It. Things have changed a lot Since I was a lad and Its very exciting. The flat I live In is a terrific difference from the old Council house I used to live In. We have portable colour televisions about 3 inches by 2 inches With 9 Stations. We have a big Computer Which you only need to press a button and you can have any food you desire In an Instant also the chairs you can drive around the flat. The food is little tablets or blocks Which are just as tasty and as nurishing.  Words: 218",4.0,765.384615384615
"I have a wife and she is going to have a baby. My job is as a drop forger a person who deals in making spanners and train axles, anything to do with tools. I work in an office which look down on the great big hammer's which stamp out the tools. The workers knock off at five, and I do half an hour later after inspecting the fan belt which drives the machinery, pack my ""homework"" as I call it and drive home in my mini. I am interested in flowers and in hothouse plants and in my spare time our next door neighbor and I are building a green-house.       Our back garden backs on to the [golf course] in which I meet a few friends and have a game of golf. If you win you get sixpence from every player.       I was down to my last sixpence when I won the next hole, I collected two shillings that go. On our lawn i made a putting green by making some holes in the grass and putting some plastic flower pots in them.      I hope to be promoted soon because my sister and mother are retiring. My sister is good at biology and she is going to take that up and have more training. We had to rent a house in Wales and to take our children (when they are grown) and eventually buy one.  Words: 239",3.0,833.25
"I have two children one 4 the other 6. I am working in a school as a teacher. My husband is an Estate Agent. In the evenings we have tea and each person tells the rest about any interesting events which has happened to them. Then we have a sit and talk about what we are going to buy or if we are going to buy a house or not. We then watch Calendar and the news. At half past seven the children will have a bath and be put to bed. Meanwhile my husband will be seeing that the car's engine is all right so that we shall not be stranded anywhere is something goes wrong. After that I shall do the ironing or washing or any other jobs that want doing. At Eleven o'clock we shall go to bed and get up at seven o'clock. At eight o'clock I would take the children one to school with me the other to her grandma's. My husband goes to work at nine o'clock. At school I [illegible] teach first English, Math and Art. In the afternoon P.E., Projects and History. On Sundays in the summer we will go to the sea for a day or go visiting. In winter I [illegible] stay at home and watch television or bake. Every Thursday we go to my mother's or mother in law's. At home I do all the housework at night after tea. When I am twenty nine I shall go to another school or stop being a teacher.  Words: 258",3.0,590.0
"When I am twenty five I would have married and have children. I will hope to be a surveyor or an architect, with a good salary. My wife will stay at home and look after the children My interests will probably be football watching and judo. My house would be all be ground *****. I would have a kitchen, dining room, a lounge, three bedrooms, a study with a desk that can move back into the wall I would also have a play rom where the children could keep their toys in cupboards which open into the walls In the kitchen their would be plenty of room for a machine which made meals in one minute In the dinning room their would be a ***** which would tell the people in the room that dinner was ready. In the bedrooms a person could just touch a button and the beds would fold up against the wall and the room would be cleaned easier. Next to the house their would be a garage with room for two cars. Near the garage would be a small ****** in which a helicopter and a private plane would be house. I would have a garden 1/2 mile by *****. If i was called up for ****** in the war I would try to become an engineer in the army.  Words: 224",3.0,1125.0
"If I was 25 years old I would like to work in the smelter or in a hotel if I got a job in the smelter I would ask if they had a job for making the beds. In a hotel I would serve the people that came in. I am leading a good life because I get out nearly every night I get to a [bance] I am note [mared] and I would not like to be. I am interests at swimming, [tiping], or working in a shop or being a nanny for little children.  Words: 96",4.0,60.0
"I am 25 I have two children I am a part time business man and I play football on a Saturdayafternoonfor Chelseafc. I work for a firm called [company name] which is a weldingcompany. I live in the countryside on a big farm which some labourers run for me I go to work on a Monday, Wednesday, and Thursday. After the match on a Saturday I drive to town and get paid and give my wife half and give the children their pocket money and then I watch the television and after that I go to put the children to sleep and then meand my wife go to sleep.  Words: 114",4.0,280.0
When I leave this school I should like to go to the Girls High School then I want to go to College. The life I am leading is to be with small children and to look after them. I am interested in dancing and have recently joined a tennis club at Ingoldsby where my mother used to go when I was younger. I meet a lot of friends when I go to dances and play tennis I make friends as well. At home I help my mother whenever I get the chance. My father works on a farm and I have two sister's both younger than me. [female name] is twenty-four and has just got a job. [female name] is twenty-one now and has just left college. I am an Infant school teacher and I am very fond of young children. I go to tennis as often as I can get the chance the court I play on is a hard court even though I prefer a grass court I am hoping to start badminton soon. The best chance to help my mother is at week-ends and in the holidays. I am hoping to get married next September then my husband and I want to get a house somewhere in the country. We were engaged last month.  Words: 213,4.0,61.0
